fia_code;common_name;plants_code;trait;value
12;balsam fir;ABBA;Vegetative Spread Rate;None
12;balsam fir;ABBA;Berry/Nut/Seed Product;No
12;balsam fir;ABBA;Christmas Tree Product;Yes
12;balsam fir;ABBA;Fodder Product;No
12;balsam fir;ABBA;Fuelwood Product;Low
12;balsam fir;ABBA;Lumber Product;Yes
12;balsam fir;ABBA;Naval Store Product;Yes
12;balsam fir;ABBA;Nursery Stock Product;Yes
12;balsam fir;ABBA;Palatable Browse Animal;Medium
12;balsam fir;ABBA;Palatable Human;No
12;balsam fir;ABBA;Post Product;No
12;balsam fir;ABBA;Protein Potential;Low
12;balsam fir;ABBA;Pulpwood Product;Yes
12;balsam fir;ABBA;Veneer Product;Yes
14;Santa Lucia or bristlecone fir;ABBR;NA;NA
15;white fir;ABCO;Active Growth Period;Spring and Summer
15;white fir;ABCO;Bloat;None
15;white fir;ABCO;C:N Ratio;High
15;white fir;ABCO;Coppice Potential;No
15;white fir;ABCO;Fall Conspicuous;No
15;white fir;ABCO;Fire Resistant;No
15;white fir;ABCO;Flower Color;Red
15;white fir;ABCO;Flower Conspicuous;No
15;white fir;ABCO;Foliage Color;Green
15;white fir;ABCO;Foliage Porosity Summer;Dense
15;white fir;ABCO;Foliage Porosity Winter;Dense
15;white fir;ABCO;Foliage Texture;Medium
15;white fir;ABCO;Fruit/Seed Color;Brown
15;white fir;ABCO;Fruit/Seed Conspicuous;No
15;white fir;ABCO;Growth Form;Single Stem
15;white fir;ABCO;Growth Rate;Slow
15;white fir;ABCO;Height at 20 Years, Maximum (feet);20
15;white fir;ABCO;Height, Mature (feet);120.0
15;white fir;ABCO;Known Allelopath;No
15;white fir;ABCO;Leaf Retention;Yes
15;white fir;ABCO;Lifespan;Long
15;white fir;ABCO;Low Growing Grass;No
15;white fir;ABCO;Nitrogen Fixation;None
15;white fir;ABCO;Resprout Ability;No
15;white fir;ABCO;Shape and Orientation;Conical
15;white fir;ABCO;Toxicity;None
15;white fir;ABCO;Adapted to Coarse Textured Soils;Yes
15;white fir;ABCO;Adapted to Fine Textured Soils;No
15;white fir;ABCO;Adapted to Medium Textured Soils;Yes
15;white fir;ABCO;Anaerobic Tolerance;None
15;white fir;ABCO;CaCO3 Tolerance;Low
15;white fir;ABCO;Cold Stratification Required;Yes
15;white fir;ABCO;Drought Tolerance;Medium
15;white fir;ABCO;Fertility Requirement;Medium
15;white fir;ABCO;Fire Tolerance;Medium
15;white fir;ABCO;Frost Free Days, Minimum;80
15;white fir;ABCO;Hedge Tolerance;Low
15;white fir;ABCO;Moisture Use;Medium
15;white fir;ABCO;pH, Maximum;7.8
15;white fir;ABCO;pH, Minimum;5.5
15;white fir;ABCO;Planting Density per Acre, Maximum;1200
15;white fir;ABCO;Planting Density per Acre, Minimum;300
15;white fir;ABCO;Precipitation, Maximum;80
15;white fir;ABCO;Precipitation, Minimum;18
15;white fir;ABCO;Root Depth, Minimum (inches);40
15;white fir;ABCO;Salinity Tolerance;None
15;white fir;ABCO;Shade Tolerance;Intermediate
15;white fir;ABCO;Temperature, Minimum (°F);-38
15;white fir;ABCO;Bloom Period;Late Spring
15;white fir;ABCO;Commercial Availability;Routinely Available
15;white fir;ABCO;Fruit/Seed Abundance;Medium
15;white fir;ABCO;Fruit/Seed Period Begin;Summer
15;white fir;ABCO;Fruit/Seed Period End;Fall
15;white fir;ABCO;Fruit/Seed Persistence;No
15;white fir;ABCO;Propagated by Bare Root;Yes
15;white fir;ABCO;Propagated by Bulb;No
15;white fir;ABCO;Propagated by Container;Yes
15;white fir;ABCO;Propagated by Corm;No
15;white fir;ABCO;Propagated by Cuttings;Yes
15;white fir;ABCO;Propagated by Seed;Yes
15;white fir;ABCO;Propagated by Sod;No
15;white fir;ABCO;Propagated by Sprigs;No
15;white fir;ABCO;Propagated by Tubers;No
15;white fir;ABCO;Seed per Pound;15920
15;white fir;ABCO;Seed Spread Rate;Moderate
15;white fir;ABCO;Seedling Vigor;Medium
15;white fir;ABCO;Small Grain;No
15;white fir;ABCO;Vegetative Spread Rate;None
15;white fir;ABCO;Berry/Nut/Seed Product;No
15;white fir;ABCO;Christmas Tree Product;Yes
15;white fir;ABCO;Fodder Product;No
15;white fir;ABCO;Fuelwood Product;Low
15;white fir;ABCO;Lumber Product;Yes
15;white fir;ABCO;Naval Store Product;No
15;white fir;ABCO;Nursery Stock Product;Yes
15;white fir;ABCO;Palatable Browse Animal;Low
15;white fir;ABCO;Palatable Human;No
15;white fir;ABCO;Post Product;No
15;white fir;ABCO;Protein Potential;Low
15;white fir;ABCO;Pulpwood Product;Yes
15;white fir;ABCO;Veneer Product;Yes
16;Fraser fir;ABFR;Active Growth Period;Spring and Summer
16;Fraser fir;ABFR;Bloat;None
16;Fraser fir;ABFR;C:N Ratio;High
16;Fraser fir;ABFR;Coppice Potential;No
16;Fraser fir;ABFR;Fall Conspicuous;No
16;Fraser fir;ABFR;Fire Resistant;No
16;Fraser fir;ABFR;Flower Color;Purple
16;Fraser fir;ABFR;Flower Conspicuous;No
16;Fraser fir;ABFR;Foliage Color;Dark Green
16;Fraser fir;ABFR;Foliage Porosity Summer;Moderate
16;Fraser fir;ABFR;Foliage Porosity Winter;Moderate
16;Fraser fir;ABFR;Foliage Texture;Medium
16;Fraser fir;ABFR;Fruit/Seed Color;Brown
16;Fraser fir;ABFR;Fruit/Seed Conspicuous;Yes
16;Fraser fir;ABFR;Growth Form;Single Stem
16;Fraser fir;ABFR;Growth Rate;Moderate
16;Fraser fir;ABFR;Height at 20 Years, Maximum (feet);20
16;Fraser fir;ABFR;Height, Mature (feet);55.0
16;Fraser fir;ABFR;Known Allelopath;No
16;Fraser fir;ABFR;Leaf Retention;Yes
16;Fraser fir;ABFR;Lifespan;Moderate
16;Fraser fir;ABFR;Low Growing Grass;No
16;Fraser fir;ABFR;Nitrogen Fixation;None
16;Fraser fir;ABFR;Resprout Ability;Yes
16;Fraser fir;ABFR;Shape and Orientation;Erect
16;Fraser fir;ABFR;Toxicity;None
16;Fraser fir;ABFR;Adapted to Coarse Textured Soils;Yes
16;Fraser fir;ABFR;Adapted to Fine Textured Soils;No
16;Fraser fir;ABFR;Adapted to Medium Textured Soils;Yes
16;Fraser fir;ABFR;Anaerobic Tolerance;Low
16;Fraser fir;ABFR;CaCO3 Tolerance;Low
16;Fraser fir;ABFR;Cold Stratification Required;No
16;Fraser fir;ABFR;Drought Tolerance;Low
16;Fraser fir;ABFR;Fertility Requirement;Low
16;Fraser fir;ABFR;Fire Tolerance;Low
16;Fraser fir;ABFR;Frost Free Days, Minimum;90
16;Fraser fir;ABFR;Hedge Tolerance;Low
16;Fraser fir;ABFR;Moisture Use;Medium
16;Fraser fir;ABFR;pH, Maximum;5.5
16;Fraser fir;ABFR;pH, Minimum;3.5
16;Fraser fir;ABFR;Planting Density per Acre, Maximum;1200
16;Fraser fir;ABFR;Planting Density per Acre, Minimum;435
16;Fraser fir;ABFR;Precipitation, Maximum;100
16;Fraser fir;ABFR;Precipitation, Minimum;45
16;Fraser fir;ABFR;Root Depth, Minimum (inches);6
16;Fraser fir;ABFR;Salinity Tolerance;Low
16;Fraser fir;ABFR;Shade Tolerance;Tolerant
16;Fraser fir;ABFR;Temperature, Minimum (°F);-23
16;Fraser fir;ABFR;Bloom Period;Mid Spring
16;Fraser fir;ABFR;Commercial Availability;Routinely Available
16;Fraser fir;ABFR;Fruit/Seed Abundance;Medium
16;Fraser fir;ABFR;Fruit/Seed Period Begin;Spring
16;Fraser fir;ABFR;Fruit/Seed Period End;Fall
16;Fraser fir;ABFR;Fruit/Seed Persistence;Yes
16;Fraser fir;ABFR;Propagated by Bare Root;Yes
16;Fraser fir;ABFR;Propagated by Bulb;No
16;Fraser fir;ABFR;Propagated by Container;Yes
16;Fraser fir;ABFR;Propagated by Corm;No
16;Fraser fir;ABFR;Propagated by Cuttings;Yes
16;Fraser fir;ABFR;Propagated by Seed;Yes
16;Fraser fir;ABFR;Propagated by Sod;No
16;Fraser fir;ABFR;Propagated by Sprigs;No
16;Fraser fir;ABFR;Propagated by Tubers;No
16;Fraser fir;ABFR;Seed per Pound;60800
16;Fraser fir;ABFR;Seed Spread Rate;Slow
16;Fraser fir;ABFR;Seedling Vigor;Medium
16;Fraser fir;ABFR;Small Grain;No
16;Fraser fir;ABFR;Vegetative Spread Rate;None
16;Fraser fir;ABFR;Berry/Nut/Seed Product;No
16;Fraser fir;ABFR;Christmas Tree Product;Yes
16;Fraser fir;ABFR;Fodder Product;No
16;Fraser fir;ABFR;Fuelwood Product;Low
16;Fraser fir;ABFR;Lumber Product;No
16;Fraser fir;ABFR;Naval Store Product;No
16;Fraser fir;ABFR;Nursery Stock Product;Yes
16;Fraser fir;ABFR;Palatable Browse Animal;Low
16;Fraser fir;ABFR;Palatable Human;No
16;Fraser fir;ABFR;Post Product;No
16;Fraser fir;ABFR;Protein Potential;Low
16;Fraser fir;ABFR;Pulpwood Product;Yes
16;Fraser fir;ABFR;Veneer Product;Yes
17;grand fir;ABGR;Active Growth Period;Spring and Summer
17;grand fir;ABGR;Bloat;None
17;grand fir;ABGR;C:N Ratio;High
17;grand fir;ABGR;Coppice Potential;No
17;grand fir;ABGR;Fall Conspicuous;No
17;grand fir;ABGR;Fire Resistant;Yes
17;grand fir;ABGR;Flower Conspicuous;No
17;grand fir;ABGR;Foliage Color;Green
17;grand fir;ABGR;Foliage Porosity Summer;Dense
17;grand fir;ABGR;Foliage Porosity Winter;Dense
17;grand fir;ABGR;Foliage Texture;Medium
17;grand fir;ABGR;Fruit/Seed Color;Brown
17;grand fir;ABGR;Fruit/Seed Conspicuous;No
17;grand fir;ABGR;Growth Form;Single Stem
17;grand fir;ABGR;Growth Rate;Moderate
17;grand fir;ABGR;Height at 20 Years, Maximum (feet);25
17;grand fir;ABGR;Height, Mature (feet);150.0
17;grand fir;ABGR;Known Allelopath;No
17;grand fir;ABGR;Leaf Retention;Yes
17;grand fir;ABGR;Lifespan;Long
17;grand fir;ABGR;Low Growing Grass;No
17;grand fir;ABGR;Nitrogen Fixation;None
17;grand fir;ABGR;Resprout Ability;No
17;grand fir;ABGR;Shape and Orientation;Conical
17;grand fir;ABGR;Toxicity;None
17;grand fir;ABGR;Adapted to Coarse Textured Soils;Yes
17;grand fir;ABGR;Adapted to Fine Textured Soils;No
17;grand fir;ABGR;Adapted to Medium Textured Soils;Yes
17;grand fir;ABGR;Anaerobic Tolerance;Low
17;grand fir;ABGR;CaCO3 Tolerance;Low
17;grand fir;ABGR;Cold Stratification Required;Yes
17;grand fir;ABGR;Drought Tolerance;Medium
17;grand fir;ABGR;Fertility Requirement;Medium
17;grand fir;ABGR;Fire Tolerance;High
17;grand fir;ABGR;Frost Free Days, Minimum;60
17;grand fir;ABGR;Hedge Tolerance;Low
17;grand fir;ABGR;Moisture Use;Medium
17;grand fir;ABGR;pH, Maximum;7.5
17;grand fir;ABGR;pH, Minimum;4.5
17;grand fir;ABGR;Planting Density per Acre, Maximum;1200
17;grand fir;ABGR;Planting Density per Acre, Minimum;300
17;grand fir;ABGR;Precipitation, Maximum;100
17;grand fir;ABGR;Precipitation, Minimum;11
17;grand fir;ABGR;Root Depth, Minimum (inches);20
17;grand fir;ABGR;Salinity Tolerance;None
17;grand fir;ABGR;Shade Tolerance;Tolerant
17;grand fir;ABGR;Temperature, Minimum (°F);-33
17;grand fir;ABGR;Bloom Period;Late Spring
17;grand fir;ABGR;Commercial Availability;Field Collections Only
17;grand fir;ABGR;Fruit/Seed Abundance;Medium
17;grand fir;ABGR;Fruit/Seed Period Begin;Summer
17;grand fir;ABGR;Fruit/Seed Period End;Fall
17;grand fir;ABGR;Fruit/Seed Persistence;No
17;grand fir;ABGR;Propagated by Bare Root;Yes
17;grand fir;ABGR;Propagated by Bulb;No
17;grand fir;ABGR;Propagated by Container;Yes
17;grand fir;ABGR;Propagated by Corm;No
17;grand fir;ABGR;Propagated by Cuttings;No
17;grand fir;ABGR;Propagated by Seed;Yes
17;grand fir;ABGR;Propagated by Sod;No
17;grand fir;ABGR;Propagated by Sprigs;No
17;grand fir;ABGR;Propagated by Tubers;No
17;grand fir;ABGR;Seed per Pound;23200
17;grand fir;ABGR;Seed Spread Rate;Slow
17;grand fir;ABGR;Seedling Vigor;Low
17;grand fir;ABGR;Small Grain;No
17;grand fir;ABGR;Vegetative Spread Rate;None
17;grand fir;ABGR;Berry/Nut/Seed Product;No
17;grand fir;ABGR;Christmas Tree Product;Yes
17;grand fir;ABGR;Fodder Product;No
17;grand fir;ABGR;Fuelwood Product;Low
17;grand fir;ABGR;Lumber Product;Yes
17;grand fir;ABGR;Naval Store Product;No
17;grand fir;ABGR;Nursery Stock Product;Yes
17;grand fir;ABGR;Palatable Browse Animal;Low
17;grand fir;ABGR;Palatable Human;No
17;grand fir;ABGR;Post Product;No
17;grand fir;ABGR;Protein Potential;Low
17;grand fir;ABGR;Pulpwood Product;Yes
17;grand fir;ABGR;Veneer Product;Yes
18;corkbark fir;ABLAA;NA;NA
19;subalpine fir;ABLA;Active Growth Period;Spring and Summer
19;subalpine fir;ABLA;Bloat;None
19;subalpine fir;ABLA;C:N Ratio;High
19;subalpine fir;ABLA;Coppice Potential;No
19;subalpine fir;ABLA;Fall Conspicuous;No
19;subalpine fir;ABLA;Fire Resistant;No
19;subalpine fir;ABLA;Flower Conspicuous;No
19;subalpine fir;ABLA;Foliage Color;Green
19;subalpine fir;ABLA;Foliage Porosity Summer;Dense
19;subalpine fir;ABLA;Foliage Porosity Winter;Dense
19;subalpine fir;ABLA;Foliage Texture;Medium
19;subalpine fir;ABLA;Fruit/Seed Color;Brown
19;subalpine fir;ABLA;Fruit/Seed Conspicuous;No
19;subalpine fir;ABLA;Growth Form;Single Stem
19;subalpine fir;ABLA;Growth Rate;Slow
19;subalpine fir;ABLA;Height at 20 Years, Maximum (feet);15
19;subalpine fir;ABLA;Height, Mature (feet);90.0
19;subalpine fir;ABLA;Known Allelopath;No
19;subalpine fir;ABLA;Leaf Retention;Yes
19;subalpine fir;ABLA;Lifespan;Long
19;subalpine fir;ABLA;Low Growing Grass;No
19;subalpine fir;ABLA;Nitrogen Fixation;None
19;subalpine fir;ABLA;Resprout Ability;No
19;subalpine fir;ABLA;Shape and Orientation;Conical
19;subalpine fir;ABLA;Toxicity;None
19;subalpine fir;ABLA;Adapted to Coarse Textured Soils;Yes
19;subalpine fir;ABLA;Adapted to Fine Textured Soils;No
19;subalpine fir;ABLA;Adapted to Medium Textured Soils;Yes
19;subalpine fir;ABLA;Anaerobic Tolerance;None
19;subalpine fir;ABLA;CaCO3 Tolerance;Low
19;subalpine fir;ABLA;Cold Stratification Required;Yes
19;subalpine fir;ABLA;Drought Tolerance;Low
19;subalpine fir;ABLA;Fertility Requirement;Medium
19;subalpine fir;ABLA;Fire Tolerance;Low
19;subalpine fir;ABLA;Frost Free Days, Minimum;120
19;subalpine fir;ABLA;Hedge Tolerance;Low
19;subalpine fir;ABLA;Moisture Use;Medium
19;subalpine fir;ABLA;pH, Maximum;6.5
19;subalpine fir;ABLA;pH, Minimum;4.0
19;subalpine fir;ABLA;Planting Density per Acre, Maximum;1200
19;subalpine fir;ABLA;Planting Density per Acre, Minimum;300
19;subalpine fir;ABLA;Precipitation, Maximum;150
19;subalpine fir;ABLA;Precipitation, Minimum;20
19;subalpine fir;ABLA;Root Depth, Minimum (inches);40
19;subalpine fir;ABLA;Salinity Tolerance;None
19;subalpine fir;ABLA;Shade Tolerance;Tolerant
19;subalpine fir;ABLA;Temperature, Minimum (°F);-51
19;subalpine fir;ABLA;Bloom Period;Late Spring
19;subalpine fir;ABLA;Commercial Availability;Routinely Available
19;subalpine fir;ABLA;Fruit/Seed Abundance;Medium
19;subalpine fir;ABLA;Fruit/Seed Period Begin;Summer
19;subalpine fir;ABLA;Fruit/Seed Period End;Fall
19;subalpine fir;ABLA;Fruit/Seed Persistence;No
19;subalpine fir;ABLA;Propagated by Bare Root;Yes
19;subalpine fir;ABLA;Propagated by Bulb;No
19;subalpine fir;ABLA;Propagated by Container;Yes
19;subalpine fir;ABLA;Propagated by Corm;No
19;subalpine fir;ABLA;Propagated by Cuttings;No
19;subalpine fir;ABLA;Propagated by Seed;Yes
19;subalpine fir;ABLA;Propagated by Sod;No
19;subalpine fir;ABLA;Propagated by Sprigs;No
19;subalpine fir;ABLA;Propagated by Tubers;No
19;subalpine fir;ABLA;Seed per Pound;37440
19;subalpine fir;ABLA;Seed Spread Rate;Slow
19;subalpine fir;ABLA;Seedling Vigor;Low
19;subalpine fir;ABLA;Small Grain;No
19;subalpine fir;ABLA;Vegetative Spread Rate;None
19;subalpine fir;ABLA;Berry/Nut/Seed Product;No
19;subalpine fir;ABLA;Christmas Tree Product;Yes
19;subalpine fir;ABLA;Fodder Product;No
19;subalpine fir;ABLA;Fuelwood Product;Low
19;subalpine fir;ABLA;Lumber Product;Yes
19;subalpine fir;ABLA;Naval Store Product;No
19;subalpine fir;ABLA;Nursery Stock Product;Yes
19;subalpine fir;ABLA;Palatable Browse Animal;Low
19;subalpine fir;ABLA;Palatable Human;No
19;subalpine fir;ABLA;Post Product;No
19;subalpine fir;ABLA;Protein Potential;Low
19;subalpine fir;ABLA;Pulpwood Product;Yes
19;subalpine fir;ABLA;Veneer Product;No
20;California red fir;ABMA;Active Growth Period;Spring and Summer
20;California red fir;ABMA;Bloat;None
20;California red fir;ABMA;C:N Ratio;High
20;California red fir;ABMA;Coppice Potential;No
20;California red fir;ABMA;Fall Conspicuous;No
20;California red fir;ABMA;Fire Resistant;Yes
20;California red fir;ABMA;Flower Color;Brown
20;California red fir;ABMA;Flower Conspicuous;No
20;California red fir;ABMA;Foliage Color;Dark Green
20;California red fir;ABMA;Foliage Porosity Summer;Moderate
20;California red fir;ABMA;Foliage Porosity Winter;Moderate
20;California red fir;ABMA;Foliage Texture;Medium
20;California red fir;ABMA;Fruit/Seed Color;Brown
20;California red fir;ABMA;Fruit/Seed Conspicuous;Yes
20;California red fir;ABMA;Growth Form;Single Stem
20;California red fir;ABMA;Growth Rate;Slow
20;California red fir;ABMA;Height at 20 Years, Maximum (feet);35
20;California red fir;ABMA;Height, Mature (feet);150.0
20;California red fir;ABMA;Known Allelopath;No
20;California red fir;ABMA;Leaf Retention;Yes
20;California red fir;ABMA;Lifespan;Long
20;California red fir;ABMA;Low Growing Grass;No
20;California red fir;ABMA;Nitrogen Fixation;None
20;California red fir;ABMA;Resprout Ability;No
20;California red fir;ABMA;Shape and Orientation;Erect
20;California red fir;ABMA;Toxicity;None
20;California red fir;ABMA;Adapted to Coarse Textured Soils;Yes
20;California red fir;ABMA;Adapted to Fine Textured Soils;No
20;California red fir;ABMA;Adapted to Medium Textured Soils;Yes
20;California red fir;ABMA;Anaerobic Tolerance;None
20;California red fir;ABMA;CaCO3 Tolerance;Low
20;California red fir;ABMA;Cold Stratification Required;Yes
20;California red fir;ABMA;Drought Tolerance;Low
20;California red fir;ABMA;Fertility Requirement;Low
20;California red fir;ABMA;Fire Tolerance;Low
20;California red fir;ABMA;Frost Free Days, Minimum;90
20;California red fir;ABMA;Hedge Tolerance;Low
20;California red fir;ABMA;Moisture Use;Medium
20;California red fir;ABMA;pH, Maximum;6.1
20;California red fir;ABMA;pH, Minimum;5.0
20;California red fir;ABMA;Planting Density per Acre, Maximum;1200
20;California red fir;ABMA;Planting Density per Acre, Minimum;430
20;California red fir;ABMA;Precipitation, Maximum;64
20;California red fir;ABMA;Precipitation, Minimum;33
20;California red fir;ABMA;Root Depth, Minimum (inches);20
20;California red fir;ABMA;Salinity Tolerance;Low
